dept_id,dept_name,dept_category,division,dept_type,dept_age_years,location_type,team_size,reporting_structure,manager_experience_level,supervisor_experience_level,primary_function,secondary_function,creation_reason,oversight_body,reporting_lag_days,training_hours_quarterly,violations_past_3years,remediation_plan_active,executive_support,external_consulting,engagement_programs,onboarding_program,improvement_commitment,digital_systems,external_partnerships,interdept_collaboration_score,resource_availability_score,external_interactions_frequency,risk_exposure_operational,risk_exposure_financial,operational_health_index,reporting_gaps_annual,audit_score_q1,audit_score_q2,compliance_score_final,overall_risk_score,is_high_risk
DEPT-7536,East Operations,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-3151,Compliance - East Region,Financial_Reporting,Corporate_HQ,Unknown,8.0,Urban,Small,Centralized,3.0,3.0,Operations,Finance,Restructuring,External_Auditor,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,1.0,4.0,4.0,10.0,50.0,50.0,50.0,35.0,1.0
DEPT-3953,Compliance - Emerging Region,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Small,Centralized,2.0,2.0,Administrative,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,6.0,65.0,55.0,55.0,18.0,1.0
DEPT-1061,Compliance - Legacy Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-5245,Internal Controls - South Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,2.0,1.0,Operations,Unknown,Expansion,Internal_Audit,1.0,40.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,10.0,50.0,45.0,40.0,55.0,1.0
DEPT-9066,Global Audit Services,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-7627,Alpha Compliance,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Small,Centralized,4.0,3.0,Compliance,Operations,Regulation,Internal_Audit,3.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,80.0,75.0,80.0,16.0,0.0
DEPT-2895,Central Services,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Autonomous,3.0,4.0,Unknown,Other,Regulation,External_Auditor,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,4.0,5.0,12.0,75.0,65.0,70.0,31.0,0.0
DEPT-8602,Process Excellence - South Region,Financial_Reporting,Corporate_HQ,Support,7.0,Unknown,Large,Centralized,2.0,1.0,Administrative,Operations,Expansion,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,5.0,1.0,2.0,5.0,0.0,55.0,50.0,55.0,15.0,1.0
DEPT-4790,Central Business Integrity,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,4.0,2.0,Compliance,Finance,Restructuring,Internal_Audit,1.0,60.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,4.0,2.0,4.0,4.0,0.0,70.0,65.0,65.0,30.0,0.0
DEPT-1003,Process Excellence - Elite Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,1.0,2.0,Other,Other,Restructuring,Internal_Audit,2.0,40.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,4.0,0.0,60.0,65.0,65.0,20.0,0.0
DEPT-3374,Internal Controls - Prime Region,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,1.0,1.0,Other,Other,Regulation,Internal_Audit,3.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,40.0,60.0,45.0,21.0,1.0
DEPT-2904,Ethics and Compliance - Elite Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-4742,Process Excellence - Elite Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-8796,Strategic Department,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,1.0,1.0,Administrative,Unknown,Expansion,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,12.0,60.0,60.0,60.0,16.0,0.0
DEPT-1168,Regulatory Affairs - East Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,2.0,Administrative,Operations,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,70.0,70.0,70.0,15.0,0.0
DEPT-7076,Compliance - West Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-2644,Compliance - Core Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Urban,Small,Autonomous,3.0,2.0,Compliance,Operations,Restructuring,Internal_Audit,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,3.0,2.0,3.0,18.0,65.0,65.0,65.0,44.0,1.0
DEPT-8610,Beta Risk Management,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-9887,Premier Operations,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,2.0,1.0,Other,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,5.0,1.0,1.0,5.0,0.0,65.0,60.0,60.0,10.0,0.0
DEPT-7569,Business Integrity - West Region,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Large,Centralized,2.0,1.0,Operations,Operations,Expansion,Unknown,1.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,3.0,2.0,0.0,70.0,75.0,75.0,20.0,0.0
DEPT-4301,South Ethics and Compliance,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,1.0,1.0,Other,Other,Expansion,Unknown,1.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,2.0,65.0,55.0,55.0,31.0,1.0
DEPT-5732,Internal Controls - Metro Region,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,2.0,2.0,Other,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,5.0,1.0,2.0,5.0,2.0,60.0,60.0,70.0,20.0,0.0
DEPT-7733,Audit Services - Global Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,1.0,Administrative,Other,Regulation,Internal_Audit,3.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,55.0,60.0,65.0,20.0,0.0
DEPT-1237,Alpha Solutions,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,3.0,2.0,Other,Other,Regulation,Internal_Audit,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,55.0,60.0,70.0,12.0,0.0
DEPT-8808,Compliance - Core Region,Risk_Management,Regional_Operations,Unknown,15.0,International,Small,Autonomous,3.0,2.0,Technology,Unknown,Regulation,Internal_Audit,2.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,22.0,87.7,60.0,82.7,86.0,1.0
DEPT-1070,Elite Risk Management,Financial_Reporting,Corporate_HQ,Operations,6.0,Unknown,Small,Centralized,3.0,2.0,Compliance,Other,Restructuring,External_Auditor,3.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,3.0,5.0,3.0,16.0,50.0,55.0,60.0,48.0,1.0
DEPT-9383,Risk Management - Regional Region,Operational_Compliance,Regional_Operations,Compliance,13.0,Urban,Medium,Hybrid,4.0,2.0,Unknown,Compliance,Regulation,Internal_Audit,2.0,86.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,2.0,1.0,0.0,60.0,100.0,100.0,75.0,1.0
DEPT-1273,Regulatory Affairs - Alpha Region,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,2.0,2.0,Unknown,Unknown,Expansion,Internal_Audit,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,8.0,70.0,65.0,60.0,14.0,0.0
DEPT-1766,Innovation Governance,Financial_Reporting,Corporate_HQ,Operations,7.0,Urban,Unknown,Unknown,3.0,1.0,Other,Other,Restructuring,Internal_Audit,2.0,20.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0,3.0,0.0,45.0,45.0,50.0,40.0,1.0
DEPT-8730,West Operations,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-6450,Governance - Prime Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Small,Centralized,4.0,3.0,Other,Other,Restructuring,Compliance_Officer,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,0.0,65.0,70.0,70.0,15.0,0.0
DEPT-2773,Governance - Legacy Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Urban,Large,Centralized,3.0,3.0,Operations,Operations,Merger,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,6.0,55.0,65.0,70.0,28.0,0.0
DEPT-4878,Quality Assurance - Innovation Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-1344,Innovation Department,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,3.0,4.0,Operations,Compliance,Merger,External_Auditor,1.0,40.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,65.0,60.0,60.0,20.0,0.0
DEPT-6205,Beta Business Integrity,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-9897,Core Ethics and Compliance,Financial_Reporting,Corporate_HQ,Support,7.0,Remote,Large,Centralized,3.0,1.0,Other,Other,Expansion,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,40.0,40.0,40.0,12.0,1.0
DEPT-4098,East Department,Financial_Reporting,Corporate_HQ,Operations,2.0,International,Medium,Unknown,1.0,2.0,Legal,Unknown,Expansion,Unknown,5.0,63.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,74.8,83.2,84.9,48.0,1.0
DEPT-6138,East Ethics and Compliance,Financial_Reporting,Corporate_HQ,Operations,5.0,Urban,Large,Centralized,3.0,3.0,Other,Other,Unknown,Internal_Audit,1.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,5.0,2.0,50.0,45.0,45.0,20.0,1.0
DEPT-4645,Legacy Services,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-1713,Tactical Quality Assurance,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-3003,Innovation Team,Risk_Management,Corporate_HQ,Technology,6.0,Remote,Large,Hybrid,1.0,2.0,Technology,Legal,Unknown,External_Auditor,2.0,72.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,1.0,11.0,74.8,78.3,79.0,40.5,1.0
DEPT-6824,Regulatory Affairs - Innovation Region,Financial_Reporting,Corporate_HQ,Support,7.0,Unknown,Unknown,Centralized,1.0,1.0,Other,Other,Regulation,Compliance_Officer,3.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,12.0,50.0,50.0,55.0,41.0,1.0
DEPT-6698,Internal Controls - Elite Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Remote,Unknown,Centralized,2.0,1.0,Administrative,Other,Regulation,Internal_Audit,1.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,8.0,40.0,40.0,45.0,34.0,1.0
DEPT-9931,Emerging Governance,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,3.0,4.0,Compliance,Finance,Expansion,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,70.0,70.0,70.0,20.0,0.0
DEPT-8683,Financial Controls - Regional Region,Financial_Reporting,Corporate_HQ,Support,8.0,Unknown,Large,Centralized,3.0,2.0,Operations,Operations,Restructuring,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,1.0,1.0,4.0,8.0,50.0,55.0,60.0,14.0,0.0
DEPT-1158,South Risk Management,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-1622,Digital Services,Financial_Reporting,Corporate_HQ,Operations,7.0,Remote,Large,Centralized,1.0,3.0,Other,Other,Unknown,External_Auditor,3.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,60.0,55.0,55.0,42.0,1.0
DEPT-1444,Process Excellence - West Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-9694,Business Integrity - Innovation Region,Risk_Management,Corporate_HQ,Compliance,7.0,Suburban,Medium,Autonomous,2.0,2.0,Technology,Finance,Merger,External_Auditor,1.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,6.0,79.1,86.5,88.0,58.0,1.0
DEPT-6841,Global Branch,Financial_Reporting,Corporate_HQ,Unknown,7.0,Urban,Large,Centralized,1.0,1.0,Other,Other,Expansion,External_Auditor,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,60.0,60.0,60.0,15.0,0.0
DEPT-1342,Regulatory Affairs - Regional Region,Financial_Reporting,Corporate_HQ,Operations,8.0,Unknown,Small,Autonomous,3.0,4.0,Other,Other,Expansion,Internal_Audit,2.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,5.0,3.0,4.0,1.0,6.0,75.0,80.0,80.0,38.0,0.0
DEPT-2716,Metro Quality Assurance,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,4.0,2.0,Finance,Unknown,Restructuring,External_Auditor,1.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,85.0,85.0,90.0,10.0,0.0
DEPT-2619,Ethics and Compliance - Advanced Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-7570,Beta Regulatory Affairs,Financial_Reporting,Corporate_HQ,Compliance,14.0,Suburban,Small,Autonomous,2.0,1.0,Legal,Legal,Restructuring,Board_Committee,2.0,26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,5.0,4.0,81.7,60.0,63.2,32.0,0.0
DEPT-4459,Tactical Office,Financial_Reporting,Corporate_HQ,Support,8.0,Remote,Large,Centralized,2.0,2.0,Administrative,Other,Regulation,Internal_Audit,2.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,4.0,6.0,70.0,65.0,70.0,13.0,0.0
DEPT-3591,South Solutions,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,3.0,2.0,Finance,Finance,Expansion,External_Auditor,1.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0,90.0,90.0,90.0,15.0,0.0
DEPT-5308,Compliance - Metro Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-7071,Tactical Risk Management,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,2.0,2.0,Administrative,Administrative,Merger,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,90.0,90.0,90.0,15.0,1.0
DEPT-1822,Quality Assurance - Central Region,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-5096,North Team,Financial_Reporting,Corporate_HQ,Finance,7.0,Urban,Large,Centralized,4.0,4.0,Operations,Compliance,Merger,External_Auditor,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,0.0,80.0,80.0,80.0,20.0,0.0
DEPT-3939,Premier Team,Financial_Reporting,Corporate_HQ,Technology,6.0,Suburban,Small,Autonomous,1.0,1.0,Finance,Compliance,Innovation,Board_Committee,5.0,69.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,17.0,83.7,82.4,82.2,38.5,0.0
DEPT-7411,Emerging Regulatory Affairs,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-9673,Regional Unit,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Small,Autonomous,2.0,2.0,Other,Other,Restructuring,Internal_Audit,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,8.0,55.0,45.0,50.0,24.0,1.0
DEPT-7292,Business Integrity - Digital Region,Financial_Reporting,Corporate_HQ,Support,9.0,Urban,Large,Centralized,3.0,3.0,Other,Operations,Unknown,Compliance_Officer,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,5.0,3.0,3.0,4.0,16.0,55.0,60.0,60.0,38.0,0.0
DEPT-5972,Risk Management - Advanced Region,Financial_Reporting,Corporate_HQ,Support,6.0,Unknown,Large,Centralized,2.0,2.0,Other,Other,Expansion,Unknown,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,65.0,65.0,65.0,20.5,0.0
